NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;NUMBER_OF_DISTRICT;NAME_OF_DISTRICT;UNIT_AREA;PAVED_AREA;AREA_OF_DRIVING_SURFACE;AREA_OF_PAVEMENT;AREA_OF_PEDESTRIAN_ZONE;AREA_OF_CYCLE_PATH;PERCENTAGE_OF_CYCLE_PATH;UNIT_LENGTH;LENGHT_OF_MUNICIPAL_STREETS;LENGHT_OF_CYCLE_PATHES;PERCENTAGE_AREA_OF_CYCLE_PATHES
AT1;AT13;AT130;90101;0;2020;2020;1;Wien Innere Stadt;m²;970.966;506.018;365.111;91.229;8.608;0,89%;m;54.269;39.518;72,82%
AT1;AT13;AT130;90201;0;2020;2020;2;Wien Leopoldstadt;m²;1.733.875;1.088.051;558.731;36.479;50.614;2,92%;m;104.131;112.628;108,16%
AT1;AT13;AT130;90301;0;2020;2020;3;Wien Landstraße;m²;1.441.055;928.305;480.549;6.300;25.901;1,80%;m;92.353;65.464;70,88%
AT1;AT13;AT130;90401;0;2020;2020;4;Wien Wieden;m²;434.208;270.736;146.611;8.860;8.001;1,84%;m;28.786;15.171;52,70%
AT1;AT13;AT130;90501;0;2020;2020;5;Wien Margareten;m²;595.331;385.300;197.415;7.375;5.241;0,88%;m;37.769;26.810;70,98%
AT1;AT13;AT130;90601;0;2020;2020;6;Wien Mariahilf;m²;401.052;234.106;147.080;14.207;5.659;1,41%;m;27.474;19.162;69,75%
AT1;AT13;AT130;90701;0;2020;2020;7;Wien Neubau;m²;366.551;209.149;141.273;12.828;3.301;0,90%;m;25.433;18.387;72,30%
AT1;AT13;AT130;90801;0;2020;2020;8;Wien Josefstadt;m²;282.152;171.675;104.247;3.907;2.323;0,82%;m;19.591;12.095;61,74%
AT1;AT13;AT130;90901;0;2020;2020;9;Wien Alsergrund;m²;757.506;482.041;264.084;6.197;5.184;0,68%;m;46.562;41.765;89,70%
AT1;AT13;AT130;91001;0;2020;2020;10;Wien Favoriten;m²;3.029.338;1.941.697;981.230;53.549;52.862;1,75%;m;210.369;127.878;60,79%
AT1;AT13;AT130;91101;0;2020;2020;11;Wien Simmering;m²;1.842.780;1.268.220;548.829;2.420;23.311;1,26%;m;136.162;78.885;57,93%
AT1;AT13;AT130;91201;0;2020;2020;12;Wien Meidling;m²;1.492.619;926.040;534.892;21.066;10.621;0,71%;m;100.834;59.074;58,59%
AT1;AT13;AT130;91301;0;2020;2020;13;Wien Hietzing;m²;1.629.714;1.107.969;519.484;0;2.261;0,14%;m;148.366;67.077;45,21%
AT1;AT13;AT130;91401;0;2020;2020;14;Wien Penzing;m²;2.005.159;1.394.029;601.591;2.739;6.800;0,34%;m;192.514;91.729;47,65%
AT1;AT13;AT130;91501;0;2020;2020;15;Wien Rudolfsheim-Fünfhaus;m²;953.118;608.014;320.846;21.316;2.942;0,31%;m;66.283;36.791;55,51%
AT1;AT13;AT130;91601;0;2020;2020;16;Wien Ottakring;m²;1.311.538;829.692;466.751;9.692;5.403;0,41%;m;100.390;43.677;43,51%
AT1;AT13;AT130;91701;0;2020;2020;17;Wien Hernals;m²;978.160;650.298;318.536;4.826;4.500;0,46%;m;86.314;38.531;44,64%
AT1;AT13;AT130;91801;0;2020;2020;18;Wien Währing;m²;898.812;572.803;314.190;8.167;3.652;0,41%;m;72.847;31.920;43,82%
AT1;AT13;AT130;91901;0;2020;2020;19;Wien Döbling;m²;1.946.509;1.328.866;614.788;394;2.461;0,13%;m;170.064;66.119;38,88%
AT1;AT13;AT130;92001;0;2020;2020;20;Wien Brigittenau;m²;1.068.174;674.707;359.647;13.871;19.949;1,87%;m;62.281;36.555;58,69%
AT1;AT13;AT130;92101;0;2020;2020;21;Wien Floridsdorf;m²;3.652.686;2.466.659;1.106.692;8.787;70.548;1,93%;m;304.175;208.859;68,66%
AT1;AT13;AT130;92201;0;2020;2020;22;Wien Donaustadt;m²;4.876.455;3.489.743;1.275.806;27.923;82.983;1,70%;m;453.563;314.915;69,43%
AT1;AT13;AT130;92301;0;2020;2020;23;Wien Liesing;m²;3.013.568;2.092.634;886.976;6.462;27.496;0,91%;m;247.749;100.854;40,71%
